species,high_income_mean,upper_middle_mean,log2_fold_change,p_value,high_prevalence,upper_prevalence,p_adjusted,significant
s__Ornithinibacter_SGB87564,9.097834803528468e-05,0.004841117647058824,5.733671549558506,2.7149393035840773e-19,0.019246190858059342,0.15294117647058825,4.1084024688706017e-19,True
s__Fusobacterium_mortiferum,0.0040227826784282284,0.006577294117647058,0.7093003691618206,3.353546825298212e-19,0.00801924619085806,0.11176470588235295,5.065186981877639e-19,True
s__Nesterenkonia_massiliensis,0.03241486768243785,0.003221470588235294,-3.3308643152695883,3.6511719179344137e-19,0.010425020048115477,0.12352941176470589,5.504313891376598e-19,True
s__GGB45849_SGB63574,0.027509895749799517,0.006780352941176471,-2.0205183786911927,9.59468528989258e-19,0.016840417000801924,0.14705882352941177,1.4437200652776218e-18,True
s__Paracoccus_sp_PAMC_22219,0.00015343223736968725,0.006205705882352941,5.3379208634906625,1.8300038729013724e-18,0.015236567762630313,0.13529411764705881,2.7484456662560085e-18,True
s__Rhodococcus_qingshengii,0.0007476423416198875,0.3046271764705882,8.670480469482424,2.6709367529808676e-18,0.012028869286287089,0.12352941176470589,4.0038995602846404e-18,True
s__Achromobacter_mucicolens,0.04345406575781876,0.16381358823529413,1.9144919566559175,2.9522731012255946e-18,0.008821170809943865,0.11176470588235295,4.417352449212079e-18,True
s__GGB45971_SGB63703,0.033571002405773855,0.004491882352941176,-2.9018235400192247,3.562544803182756e-18,0.01764234161988773,0.14705882352941177,5.320510836902845e-18,True
s__Glutamicibacter_mishrai,0.09446218925421009,0.006282529411764706,-3.9103195250822256,5.651793897922028e-18,0.010425020048115477,0.11764705882352941,8.424968888880038e-18,True
s__Neisseria_subflava,0.00205616680032077,0.005900705882352942,1.5209302004668928,8.436851627113316e-18,0.018444266238973536,0.14705882352941177,1.2553155400490763e-17,True
s__Fundicoccus_ignavus,0.00012586206896551724,0.0038244705882352946,4.925343475618001,9.917495021305332e-17,0.01764234161988773,0.13529411764705881,1.4728770487031525e-16,True
s__Tolypothrix_sp_NIES_4075,0.003276271050521251,0.00526370588235294,0.6840241437883249,1.252621454037368e-16,0.010425020048115477,0.11176470588235295,1.8568544374320164e-16,True
s__Hyphomicrobium_denitrificans,0.006547522052927024,1.8297620588235295,8.126491302429617,2.3260817897386934e-16,0.023255813953488372,0.15294117647058825,3.441739537039289e-16,True
s__Brucella_pseudogrignonensis,0.056950657578187666,0.004375294117647059,-3.702260562902495,6.460791862750861e-16,0.012830793905372895,0.11764705882352941,9.541908869386206e-16,True
s__Pseudomonas_coleopterorum,0.436249959903769,0.016934823529411763,-4.687090132222099,7.013687733270247e-16,0.04971932638331997,0.2235294117647059,1.0339366234101343e-15,True
s__Carnobacterium_inhibens,0.4510035364875702,0.04739782352941176,-3.250246025171687,1.0352469349229839e-15,0.08420208500400962,0.3,1.523319154702512e-15,True
s__Aerococcus_viridans,0.06733459502806736,0.02293888235294118,-1.5535528151276725,2.1477743734835784e-15,0.03769045709703288,0.18823529411764706,3.1545436110540057e-15,True
s__Thauera_aminoaromatica,0.10096595028067362,0.01964376470588235,-2.361725482966548,2.8584624850892934e-15,0.06094627105052125,0.23529411764705882,4.1906633496997165e-15,True
s__Janibacter_indicus,0.0025630392943063354,0.004494470588235294,0.8102955669636108,3.047984955118733e-15,0.020850040096230954,0.1411764705882353,4.4603296321242996e-15,True
s__Chryseobacterium_sp_VAUSW3,0.014225276663993584,0.0703704705882353,2.306513441252019,1.219841375553657e-14,0.13311948676824378,0.36470588235294116,1.7818158301048848e-14,True
s__Cutibacterium_acnes,3.79865629510826,1.3499342352941177,-1.4926000565969602,1.6304354830221084e-14,0.24699278267842822,0.6,2.3772225382019427e-14,True
s__Kytococcus_sedentarius,0.02397271050521251,0.005231,-2.1962343416815444,7.991816067657397e-14,0.0272654370489174,0.15294117647058825,1.1631076572055117e-13,True
s__Acinetobacter_lwoffii,0.2889138732959102,0.08268082352941176,-1.8050148171111335,6.519027938470627e-13,0.15637530072173217,0.3941176470588235,9.47036967788733e-13,True
s__Pseudomonas_oryzihabitans,1.0638364955894146,0.1637424705882353,-2.699775961273191,1.5916487520608392e-12,0.13552526062550121,0.37058823529411766,2.3080351232243384e-12,True
s__Acinetobacter_johnsonii,1.561198492381716,0.3673860588235294,-2.0872851876685705,1.9414305529782893e-12,0.2285485164394547,0.5882352941176471,2.810150383749372e-12,True
s__Acinetobacter_pseudolwoffii,0.010449599037690459,0.002759,-1.9212301853258429,4.677940282987889e-12,0.015236567762630313,0.10588235294117647,6.758904676505105e-12,True
s__Dietzia_cinnamea,0.0009227666399358461,0.0018047647058823527,0.9677729298181246,4.710730244230849e-12,0.016840417000801924,0.11176470588235295,6.793995424441243e-12,True
s__Pseudomonas_atacamensis,0.2610439374498797,0.009719470588235293,-4.747271095516338,9.416214362241327e-12,0.046511627906976744,0.18235294117647058,1.3555955451226702e-11,True
s__Pantoea_agglomerans,0.7874194787489976,0.04331929411764707,-4.184050758666479,1.4183951322793627e-11,0.1090617481956696,0.3176470588235294,2.0383052350561343e-11,True
